F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-2.30325,15.453,853.76,-490.5,0.06,-11.244,-1400.762,-22435.144,1535.9,-3.41,1,-184.89,9.8594,1,-5956.56,1.4626,-22.547,-9.288,1.502,-7870.52,16.02,True
-3.7938,8.2308,1077.72,-2340.2,2.06,-6.6428,-949.74,-22459.77,-562.1,-0.5278,0,-156.99,15.552,1,-5927.34,1.0864,-20.974,-13.737,0.47138,-15984.08,,False
-4.2147,7.7925,-4559.32,90.2,2.06,-6.942,-1814.34,-22446.333,1238.5,-0.19285,1,-124.506,12.478,1,-5000.22,3.82,-11.028,-7.3965,0.9608,-8012.68,,True
-2.9541,7.5495,518.68,-565.7,0.06,-6.7114,-1346.52,-22414.96,1084.376,-0.5364,1,-125.952,9.0148,1,-3457.32,5.002,-25.28,-6.6633,1.0401,-8243.48,13.92,False
-2.6739,7.1814,891.36,-379.55,0.06,-10.6,-1062.34,-22417.58,1016.74,-2.617,1,-167.25,10.1046,1,-5110.32,7.984,-13.402,-8.6394,0.665,-9224.08,16.16,True
-6.816,7.8165,1023.96,-497.62,2.06,-12.192,-1090.94,-22018.75,1163.9,-0.8402,1,-109.719,9.1768,0,-6853.92,4.834,-13.053,-8.1471,2.049,-8046.38,,False
-2.30937,8.2782,578.88,-432.42,0.06,-8.616,-1124.94,-22432.018,695.9,-0.4401,1,-162.69,9.036,0,-4225.02,2.902,-12.553,-7.8426,0.6236,-9342.08,,True
-5.1,7.7787,983.76,-567.3,0.06,-9.436,-601.34,-22599.45,-954.5,-3.564,0,-107.0763,8.76392,1,-4969.02,1.151,-8.905,-8.6028,0.6651,-7263.68,13.23,False
-2.36025,14.169,477.28,-294,2.06,-7.7058,-1463.06,-22532.41,1191.68,-0.9116,1,-114.303,8.65182,0,-5187.42,5.002,-15.732,-7.8333,1.967,-7834.46,14.02,True
-3.018,8.4507,123.08,-5205.2,0.06,-6.53448,-1067.34,-22383.67,933.26,-0.5505,1,-117.819,8.6493,0,4027.98,4.332,-6.991,-6.50964,0.8623,-7735.48,,False
-4.3038,9.6048,-181.92,-102.2,2.06,-7.3816,-1433.232,-22323.55,499.5,-0.405,0,-148.41,9.15,1,-3712.32,1.4358,-14.59497,-7.794,0.7198,-8043.78,,True
-4.1799,12.9,777.5,140.4,2.06,-6.6408,-1385.1,-22501.9,466.3,-1.979,1,-123.903,10.1938,0,-2692.02,1.826,-23.148,-7.2807,2.726,-8040.18,,True
-2.8041,7.6107,486.08,-1801.2,2.06,-6.60694,-845.94,-22444.925,903.14,-0.8064,0,-116.226,10.738,0,-4744.02,5.128,-8.47,-8.9709,1.0023,-7762.48,,False
-2.8806,12.972,1046.7,-441.6,0.06,-14.698,-1404.252,-22432.47,2524.7,-1.153,0,-117.312,8.64336,1,-10045.02,1.084,-10.787,-6.55302,1.929,-7852.04,11.72,False
-3.8988,8.6919,866.22,-271.5,2.06,-7.9058,-1398.05,-22408.7,920.56,-1.737,1,-132.645,9.822,1,-4882.32,3.11,-21.521,-8.8338,2.918,-7866.17,18.53,True
-6.036,9.7284,841.3,-1017.5,2.06,-7.1314,-1229.8,-22420.17,756.9,-0.3198,0,-195.12,8.6217898,0,-5523.42,1.9154,-14.2049,-7.7895,0.9604,-8355.18,,True
-2.5668,7.4751,868.42,-401.099,2.06,-9.776,-1572.44,-22393.36,1299.1,-2.661,1,-146.79,8.729,0,-4675.02,2.1414,-7.358,-6.5979,1.4088,-8141.88,15.99,True
-3.3633,8.4825,945.25,-357.43,2.06,-9.566,-1315.62,-23340.85,936.92,-1.0861,0,-226.65,12.054,0,-4798.32,4.58,-11.355,-8.6574,0.7745,-7608.48,,False
-3.3036,8.4714,3174.68,-221.4,2.06,-8.292,-1554.94,-22440.318,1587.5,-0.20589,1,-178.47,8.69788,0,-5678.52,1.062,-22.119,-9.903,0.521,-5138.08,,False
-4.2069,17.376,1623.28,-329.22,0.06,-9.342,-1433.572,-22449.47,1208.48,-0.3572,0,-125.961,9.4274,0,-7508.82,3.234,-19.834,-6.55017,0.8303,-8804.58,15.39,True
-2.8989,11.394,766.06,-1842.2,0.06,-6.6936,-1318.3,-22515.23,-1006.5,-0.7532,0,-141.03,8.81162,1,-3820.32,0.84642,-13.332,-7.0761,2.972,-7838.11,,False
-2.074527,8.031,948.808,-361.48,2.06,-7.4464,-1130.74,-22465.88,769.5,-0.6806,0,-173.4,11.974,1,-5517.42,3.438,-14.2247,-13.335,1.2324,-7585.98,,False
-7.092,9.0321,1065.62,-2427.2,2.06,-6.56918,-1209.94,-22427.831,818.5,-1.225,0,-113.766,8.80028,0,-5894.94,2.084,-13.8996,-11.817,1.2611,-8004.28,15.77,False
-5.148,11.499,788.96,166.1,2.06,-6.7556,-1444.22,-21334.65,1038.04,-2.877,0,-122.721,9.9616,0,-5156.52,4.178,-19.695,-9.471,0.9108,-8115.18,14.46,False
-3.1455,9.3339,822.24,-711.1,2.06,-8.842,-1063.14,-22411.59,861.1,-1.563,1,-130.494,8.71462,0,-5715.42,4.288,-13.617,-9.516,3.104,-8088.08,15.35,True
-7.494,8.4921,-290.92,-194.4,0.06,-8.562,-1747.94,-22410.07,2343.1,-0.5012,0,-105.15636,8.9592,0,-4291.02,1.0986,-11.024,-6.9732,0.605,-9918.08,,True
-5.292,10.758,1073.22,-304.56,0.06,-8.612,-1485.48,-22506.77,1288.7,-0.4855,1,-121.602,9.2822,0,-6381.42,3.188,-9.241,-8.7279,0.51248,-12991.08,15.05,True
-2.27085,9.234,847.66,-418.1,2.06,-8.498,-1478.74,-22355.85,1533.9,-2.576,1,-112.119,10.722,1,-6115.83,1.7258,-17.291,-7.9419,0.6229,-9602.08,,True
-2.4033,7.1853,868.22,-398.739,0.06,-12.72,-1967.54,-22428.689,1392.7,-0.3796,0,-134.385,8.75828,0,-6232.29,2.976,-21.418,-12.828,1.595,-8136.98,14.99,True
-2.9331,11.493,591.48,-393.434,2.06,-7.0742,-1406.414,-22434.092,975.44,-0.7589,1,-139.26,9.1948,0,-5663.52,1.5692,-9.21,-10.29,0.5456,-9508.08,16,True
-2.8575,12.258,928.22,-594.5,2.06,-6.938,-1399.07,-22477.13,1126.26,-1.506,0,-105.2325,8.6200134,0,-5759.82,2.742,-13.094,-7.4343,0.7325,-8591.28,,True
-4.9617,8.6259,426.48,-840.3,2.06,-7.5574,-1154.54,-22436.592,1002.2,-0.2943,0,-122.202,11.414,1,-5994.63,3.116,-19.914,-14.976,1.3203,-8031.18,,False
-4.8459,8.5443,797.68,-1338.4,0.06,-6.9418,-1149.94,-22427.602,447.3,-1.407,0,-137.67,10.654,0,-5741.52,1.0216,-18.247,-8.3457,0.9019,-8500.28,17.02,True
-4.7031,12.456,695.68,-1315.8,0.06,-6.664,-1435.89,-22431.079,1199.6,-1.692,0,-132.771,9.735,0,-6148.89,5.856,-16.317,-13.779,0.5583,-11068.08,16.5,True
-2.3715,9.0612,878.78,-414.66,2.06,-8.3484,-1478.72,-22528.62,1271.18,-0.3522,1,-112.485,11.38,0,-6165.63,3.51,-7.118,-9.903,4.249,-7914.98,14.23,False
-3.7698,13.845,1030.2,-563.7,0.06,-8.54,-1387.66,-22433.685,1392.7,-0.6546,1,-143.1,9.388,1,-6529.02,1.7152,-15.6289,-8.6139,0.5761,-9889.08,,False
-2.6019,6.9648,1657.88,392.5,2.06,-6.8318,-2951.54,-22438.893,1237.72,-0.21875,0,-126.777,9.6106,0,-5624.82,3.18,-15.2722,-8.1939,0.7396,-7512.08,13.19,False
-3.4758,8.2773,1302.08,-310.91,0.06,-8.89,-1426.058,-22428.913,1054.86,-0.7647,0,-105.1926,8.64348,0,-5406.72,5.37,-14.4197,-8.7408,1.485,-7717.08,14.34,False
